RK,Equipo,Puntos ,Jornadas,V,E,D,GF,GC
1,América,35,17,10,5,2,21,10
2,Atlas Guadalajara,29,17,8,5,4,21,10
3,León,29,17,8,5,4,20,14
4,Tigres UANL,28,17,7,7,3,26,14
5,Santos Laguna,24,17,5,9,3,23,16
6,Toluca,24,17,6,6,5,22,22
7,Puebla,24,17,6,6,5,16,16
8,Cruz Azul,23,17,5,8,4,21,17
9,Monterrey,22,17,5,7,5,19,16
10,Chivas Guadalajara,22,17,5,7,5,13,13
11,Pumas UNAM,21,17,5,6,6,17,23
12,Atl. San Luis,20,17,4,8,5,19,23
13,Mazatlán,20,17,5,5,7,18,24
14,Necaxa,20,17,6,2,9,16,22
15,Pachuca,18,17,4,6,7,19,21
16,FC Juárez,16,17,4,4,9,14,25
17,Querétaro,15,17,3,6,8,11,19
18,Tijuana,15,17,3,6,8,16,27