rnk,Driver,DriverName,pts,1,2,3,4,5,6,7,8,9,10,11,12,13
1,VER,Max Verstappen,258,0,25,0,34,26,25,15,25,25,6,27,25,25
2,LEC,Charles Leclerc,178,26,19,26,15,18,0,12,0,10,12,32,0,8
3,PER,Sergio Perez,173,0,12,18,24,12,19,25,19,0,18,4,12,10
4,RUS,George Russell,158,12,10,15,12,10,15,10,15,12,0,17,15,15
5,SAI,Carlos Sainz Jr,156,18,15,0,5,15,12,18,0,19,25,6,11,12
6,HAM,Lewis Hamilton,146,15,1,12,0,8,10,4,12,15,16,16,18,19
7,NOR,Lando Norris,76,0,6,10,19,0,4,9,2,0,8,6,6,6
8,OCO,Esteban Ocon,58,6,8,6,0,4,6,0,1,8,0,13,4,2
9,BOT,Valtteri Bottas,46,8,0,4,12,6,8,2,0,6,0,0,0,0
10,ALO,Fernando Alonso,41,2,0,0,0,0,2,6,6,2,10,1,8,4
11,MAG,Kevin Magnussen,22,10,2,0,3,0,0,0,0,0,1,6,0,0
12,RIC,Daniel Ricciardo,19,0,0,8,3,0,0,0,4,0,0,2,2,0
13,GAS,Pierre Gasly,16,0,4,2,0,0,0,0,10,0,0,0,0,0
14,VET,Sebastian Vettel,16,NaN,NaN,0,4,0,0,1,8,0,2,0,0,1
15,MSC,Mick Schumacher,12,0,0,0,0,0,0,0,0,0,4,8,0,0
16,TSU,Yuki Tsunoda,11,4,0,0,6,0,1,0,0,0,0,0,0,0
17,ZHO,Guanyu Zhou,5,1,0,0,0,0,0,0,0,4,0,0,0,0
18,STR,Lance Stroll,4,0,0,0,1,1,0,0,0,1,0,0,1,0
19,ALB,Alexander Albon,3,0,0,1,0,2,0,0,0,0,0,0,0,0
20,LAT,Latifi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,HUL,Nico Hulkenberg,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN