Home \ Away,AMÉ,ATL,ASL,CAZ,GUA,JUÁ,LEÓ,MAZ,MON,NEC,PAC,PUE,QUE,SAN,TIJ,TOL,UNL,UNM
América,—,0–2,2–3,0–0,—,3–0,2–0,—,—,—,1–3,—,1–1,—,—,3–0,—,—
Atlas,—,—,1–0,—,1–1,—,—,1–2,—,2–1,0–1,—,—,2–1,—,—,1–1,0–0
Atlético San Luis,—,—,—,—,2–2,0–1,2–0,1–0,—,—,0–2,2–1,—,1–3,—,0–1,—,2–0
Cruz Azul,—,1–0,0–1,—,0–1,1–0,—,—,—,1–2,—,1–3,—,1–2,2–0,—,—,2–1
Guadalajara,0–0,—,—,—,—,—,—,3–0,1–3,—,—,2–3,1–1,1–0,2–1,—,1–3,3–1
Juárez,—,1–2,—,—,1–3,—,0–1,0–2,—,2–1,1–2,—,—,0–0,—,—,2–3,0–1
León,—,1–1,—,0–1,2–1,—,—,—,0–0,—,2–1,0–1,1–1,—,—,4–4,0–3,—
Mazatlán,2–1,—,—,1–1,—,—,1–2,—,—,0–0,—,2–1,—,1–0,2–0,1–2,—,—
Monterrey,2–1,0–0,0–2,2–2,—,3–0,—,2–1,—,—,—,—,0–0,1–0,2–0,—,—,—
Necaxa,0–1,—,4–2,—,0–1,—,0–1,—,0–4,—,1–3,—,1–0,—,—,0–1,2–0,—
Pachuca,—,—,—,1–0,2–1,—,—,3–1,3–0,—,—,1–0,2–2,—,0–0,—,2–1,—
Puebla,1–1,1–1,—,—,—,1–1,—,—,1–0,0–1,—,—,—,2–2,3–1,—,—,2–2
Querétaro,—,0–3w/o,2–1,0–1,—,4–0,—,2–0,—,—,—,0–2,—,—,—,1–1,0–1,1–3
Santos Laguna,2–3,—,—,—,—,—,1–1,—,—,1–4,3–1,—,1–1,—,4–0,—,1–1,3–2
Tijuana,1–3,2–0,1–1,—,—,1–0,1–1,—,—,1–1,—,—,2–2,—,—,—,—,1–0
Toluca,—,2–4,—,1–4,1–1,0–1,—,—,2–2,—,0–3,2–1,—,3–1,1–2,—,—,—
UANL,0–2,—,2–1,2–2,—,—,—,4–3,2–0,—,—,0–2,—,—,2–0,3–0,—,—
UNAM,0–0,—,—,—,—,—,2–1,1–1,2–0,1–3,2–0,—,—,—,—,5–0,1–2,—